Klinikum;IK;Adresse;Bundesland;longitude;latitude
Universitätsklinikum Aachen;260530012;Pauwelsstr. 30, 52074 Aachen;Nordrhein-Westfalen;6.0433706;50.7768966
Charité – Universitätsmedizin Berlin;261101015;Charitéplatz 1, 10117 Berlin;Berlin;13.3766651;52.5239291
Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil;260590037;Bürkle-de-la-Camp-Platz 1, 44789 Bochum;Nordrhein-Westfalen;7.2089902;51.468328
Knappschaftskrankenhaus Bochum-Langendreer;260591608;In der Schornau 23-25, 44892 Bochum;Nordrhein-Westfalen;7.3254913;51.4641133
St. Josef-Hospital Bochum;260590071;Gudrunstraße 56, 44791 Bochum;Nordrhein-Westfalen;7.2294474;51.4932714
Marienhospital Herne;260590457;Hölkeskampring 40, 44625 Herne;Nordrhein-Westfalen;7.2241045;51.5291043
LWL-Universitätsklinik Bochum;260590015;Alexandrinenstr. 1, 44791 Bochum;Nordrhein-Westfalen;7.2269813;51.4901833
LWL-Universitätsklinik Hamm;260590435;Heithofer Allee 64, 59071 Hamm;Nordrhein-Westfalen;7.8617059;51.6866386
Herz- und Diabeteszentrum Nordrhein-Westfalen;260570603;Georgstr. 11, 32545 Bad Oeynhausen;Nordrhein-Westfalen;8.792067;52.1915901
Universitätsklinikum Bonn;260530103;Sigmund-Freud-Str. 25, 53127 Bonn;Nordrhein-Westfalen;7.0994859;50.6972449
Universitätsklinikum Carl Gustav Carus Dresden;261401030;Fetscherstr. 74, 01307 Dresden;Sachsen;13.7760709;51.0554942
Universitätsklinikum Düsseldorf;260510018;Moorenstr. 5, 40225 Düsseldorf;Nordrhein-Westfalen;6.7892403;51.1952461
Universitätsklinikum Erlangen;260950567;Krankenhausstr. 12, 91054 Erlangen;Bayern;11.0080889;49.5998366
Universitätsklinikum Essen;260510381;Hufelandstr. 55, 45147 Essen;Nordrhein-Westfalen;6.9871907;51.4362682
Universitätsklinikum Frankfurt;260612124;Theodor-Stern-Kai 7, 60596 Frankfurt;Hessen;8.6591663;50.0949692
Universitätsklinikum Freiburg;260832299;Hugstetter Str. 49, 79106 Freiburg;Baden-Württemberg;7.8389463;48.0042087
Universitätsklinikum Gießen und Marburg - Standort Gießen;260610279;Rudolf-Buchheim-Str. 6, 35392 Gießen;Hessen;8.6631213;50.5770334
Universitätsklinikum Gießen und Marburg - Standort Marburg;260620431;Baldingerstr., 35043 Marburg;Hessen;8.804782;50.8161436
Universitätsmedizin Göttingen;260310378;Robert-Koch-Str. 40, 37075 Göttingen;Niedersachsen;9.9406041;51.5510511
Universitätsmedizin Greifswald;261300152;Fleischmannstraße 8, 17475 Greifswald;Mecklenburg-Vorpommern;13.4006972;54.0880974
Universitätsklinikum Halle (Saale);261500702;Ernst-Grube-Str. 40, 06120 Halle;Sachsen-Anhalt;11.9345076;51.5014607
Universitätsklinikum Hamburg-Eppendorf;260200013;Martinistr. 52, 20246 Hamburg;Hamburg;9.9717726;53.5908275
Medizinische Hochschule Hannover;260320597;Carl-Neuberg-Str. 1, 30625 Hannover;Niedersachsen;9.8011487;52.3818336
Universitätsklinikum Heidelberg;260820466;Im Neuenheimer Feld 672, 69120 Heidelberg;Baden-Württemberg;8.6653766;49.4199514
Universitätsklinikum des Saarlandes;261000386;Kirrberger Str. 100, 66424 Homburg;Saarland;7.3421315;49.3130435
Universitätsklinikum Jena;261600736;Bachstr. 18, 07743 Jena;Thüringen;11.5765284;50.9289448
Universitätsklinikum Köln;260530283;Kerpener Str. 62, 50937 Köln;Nordrhein-Westfalen;6.9154144;50.9233421
Universitätsklinikum Leipzig;261401052;Liebigstr. 20, 04103 Leipzig;Sachsen;12.3840821;51.3308479
Herzzentrum Leipzig;261401405;Strümpellstr. 39, 04289 Leipzig;Sachsen;12.4350313;51.3074233
Universitätsmedizin der Johannes Gutenberg-Universität Mainz;260730161;Langenbeckstr. 1, 55131 Mainz;Rheinland-Pfalz;8.2575287;49.9926255
Otto-von-Guericke-Universität Magdeburg;261500289;Leipziger Str. 44, 39120 Magdeburg;Sachsen-Anhalt;11.6136608;52.1026196
Universitätsklinikum Mannheim;260820569;Theodor-Kutzer-Ufer 1-3, 68167 Mannheim;Baden-Württemberg;8.4851568;49.4924046
Klinikum der Universität München;260914050;Lindwurmstraße 2a, 80336 München;Bayern;11.5558496;48.1300536
Klinikum rechts der Isar;260913195;Ismaninger Str. 22, 81675 München;Bayern;11.5975942;48.1360077
Universitätsklinikum Münster;260550131;Domagkstr. 5, 48149 Münster;Nordrhein-Westfalen;7.5982738;51.9611885
Universitätsklinikum Regensburg;260930608;Franz-Josef-Strauß-Allee 11, 93053 Regensburg;Bayern;12.0860735;48.987971
Universitätsmedizin Rostock;261300425;Schillingallee 35, 18057 Rostock;Mecklenburg-Vorpommern;12.1008486;54.0855664
