bundesland_team3;bundesland_name;bundesland_code;bundesland_ags_code
Baden-Wuerttemberg;Baden-Württemberg;DE.BW;08
Bayern;Bayern;DE.BY;09
Berlin;Berlin;DE.BE;11
Brandenburg;Brandenburg;DE.BR;12
Bremen;Bremen;DE.HB;04
Hamburg;Hamburg;DE.HH;02
Hessen;Hessen;DE.HE;06
Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;DE.MV;13
Niedersachsen;Niedersachsen;DE.NI;03
Nordrhein-Westfalen;Nordrhein-Westfalen;DE.NW;05
Rheinland-Pfalz;Rheinland-Pfalz;DE.RP;07
Saarland;Saarland;DE.SL;10
Sachsen;Sachsen;DE.SN;14
Sachsen-Anhalt;Sachsen-Anhalt;DE.ST;15
Schleswig-Holstein;Schleswig-Holstein;DE.SH;01
Thueringen;Thüringen;DE.TH;16
