Kreis;PLZ
00;10178
00;20038
01;06844
01;24937
01;27749
01;38100
02;06108
02;24103
02;26721
02;38226
03;18055
03;23539
03;26105
03;38440
03;39104
04;19053
04;24534
04;49074
05;26382
11;09111
11;28195
11;33602
11;34117
11;40213
11;44787
11;54290
11;56068
11;64283
11;67227
11;70173
11;76530
11;79098
12;01067
12;27576
12;46236
12;47051
12;60311
12;67657
12;76133
13;04109
13;44135
13;45121
13;45879
13;63065
13;76829
14;47798
14;53111
14;58095
14;65183
14;67059
15;48143
15;50667
15;55116
15;59065
15;68753
15;68794
15;71032
15;71063
15;71083
15;71088
15;71093
15;71101
15;71106
15;71111
15;71116
15;71120
15;71126
15;71131
15;71134
15;71139
15;71144
15;71149
15;71154
15;71155
15;71157
15;71159
15;71229
15;71263
15;71272
15;71277
15;71287
15;72124
15;72141
15;72525
15;72525
15;72531
15;72532
15;72534
15;72537
15;72539
15;72555
15;72574
15;72581
15;72582
15;72584
15;72585
15;72587
15;72661
15;72764
15;72793
15;72800
15;72805
15;72813
15;72818
15;72820
15;72827
15;72829
15;75015
15;75038
15;75045
15;75053
15;75056
15;75057
15;75059
15;75392
15;76275
15;76287
15;76297
15;76307
15;76316
15;76327
15;76337
15;76344
15;76351
15;76356
15;76359
15;76646
15;76661
15;76669
15;76676
15;76684
15;76689
15;76694
15;76698
15;76703
15;76706
15;76707
15;76709
15;79189
15;79194
15;79194
15;79199
15;79206
15;79219
15;79224
15;79227
15;79232
15;79235
15;79238
15;79241
15;79244
15;79249
15;79252
15;79254
15;79256
15;79258
15;79268
15;79271
15;79274
15;79280
15;79282
15;79283
15;79285
15;79286
15;79288
15;79289
15;79291
15;79292
15;79294
15;79295
15;79299
15;79356
15;79379
15;79395
15;79410
15;79423
15;79424
15;79426
15;79427
15;79822
15;79843
15;79853
15;79856
15;79859
15;79868
15;79871
15;79874
15;79877
15;88529
16;41061
16;44623
16;51373
16;67433
16;70771
16;70794
16;72070
16;72108
16;72116
16;72119
16;72127
16;72131
16;72135
16;72138
16;72144
16;72145
16;72147
16;72149
16;72181
16;72411
16;72622
16;72631
16;72636
16;72639
16;72644
16;72649
16;72654
16;72655
16;72657
16;72658
16;72660
16;72663
16;72664
16;72666
16;72667
16;72669
16;72810
16;73207
16;73230
16;73235
16;73240
16;73249
16;73252
16;73257
16;73262
16;73265
16;73266
16;73268
16;73269
16;73271
16;73272
16;73274
16;73275
16;73277
16;73666
16;73669
16;73728
16;73760
16;73765
16;73770
16;73773
16;73776
16;73779
16;76437
16;76448
16;76456
16;76461
16;76467
16;76470
16;76473
16;76474
16;76476
16;76477
16;76479
16;76547
16;76549
16;76571
16;76593
16;76596
16;76597
16;76599
16;77815
16;77830
16;77833
16;77836
16;77839
16;79183
16;79211
16;79215
16;79215
16;79261
16;79263
16;79276
16;79279
16;79297
16;79312
16;79331
16;79336
16;79341
16;79346
16;79348
16;79350
16;79353
16;79359
16;79361
16;79362
16;79364
16;79365
16;79367
16;79369
17;45468
17;66953
17;72336
17;72348
17;72351
17;72355
17;72356
17;72358
17;72359
17;72361
17;72362
17;72364
17;72365
17;72367
17;72369
17;72379
17;72393
17;72401
17;72406
17;72414
17;72415
17;72417
17;72458
17;72469
17;72474
17;72475
17;72479
17;73033
17;73054
17;73061
17;73066
17;73072
17;73079
17;73084
17;73087
17;73092
17;73095
17;73098
17;73099
17;73101
17;73102
17;73104
17;73105
17;73107
17;73108
17;73110
17;73111
17;73113
17;73114
17;73116
17;73117
17;73119
17;73278
17;73312
17;73326
17;73329
17;73333
17;73337
17;73342
17;73344
17;73345
17;73345
17;73347
17;73349
17;77652
17;77694
17;77704
17;77709
17;77709
17;77716
17;77716
17;77716
17;77723
17;77728
17;77731
17;77736
17;77740
17;77743
17;77746
17;77749
17;77756
17;77767
17;77770
17;77781
17;77784
17;77787
17;77790
17;77791
17;77793
17;77794
17;77796
17;77797
17;77799
17;77855
17;77866
17;77871
17;77876
17;77880
17;77883
17;77886
17;77887
17;77889
17;77933
17;77948
17;77955
17;77960
17;77963
17;77966
17;77971
17;77972
17;77974
17;77975
17;77977
17;77978
17;78132
17;89558
18;67346
18;70806
18;70825
18;70839
18;71254
18;71282
18;71563
18;71638
18;71665
18;71672
18;71679
18;71686
18;71691
18;71696
18;71701
18;71706
18;71711
18;71711
18;71720
18;71723
18;71726
18;71729
18;71732
18;71735
18;71739
18;74321
18;74343
18;74354
18;74357
18;74366
18;74369
18;74372
18;74376
18;74379
18;74385
18;74391
18;74392
18;74394
18;74395
18;74399
19;46045
19;67547
19;70734
19;71332
19;71364
19;71384
19;71394
19;71397
19;71404
19;71409
19;71522
19;71540
19;71546
19;71549
19;71554
19;71560
19;71566
19;71570
19;71573
19;71576
19;71577
19;71579
19;71737
19;73553
19;73614
19;73630
19;73635
19;73642
19;73650
19;73655
19;73660
19;73663
19;73667
20;42853
20;66482
21;08280
21;08289
21;08294
21;08297
21;08304
21;08309
21;08315
21;08321
21;08324
21;08328
21;08340
21;08344
21;08349
21;08352
21;08359
21;09221
21;09235
21;09366
21;09366
21;09376
21;09380
21;09385
21;09387
21;09390
21;09392
21;09394
21;09399
21;09405
21;09405
21;09419
21;09423
21;09427
21;09429
21;09430
21;09432
21;09437
21;09439
21;09456
21;09456
21;09465
21;09468
21;09468
21;09471
21;09471
21;09474
21;09477
21;09481
21;09481
21;09484
21;09487
21;09488
21;09496
21;09514
21;09518
21;09526
21;09526
21;09548
21;09548
21;09579
21;69117
21;74072
21;89073
22;04703
22;04720
22;04720
22;04720
22;04736
22;04741
22;04746
22;04749
